MAE,RMSE,WAPE,sMAPE,dataset,fold,model,WAPE_CI_low,WAPE_CI_high,flows,rows,step_minutes,lookback_steps,horizon_steps,train_windows,val_windows,test_windows,constant_flows,ensemble_weights,train_summary
4228.37646484375,9381.947265625,14.701997756958008,27.75632667541504,Abilene,3,Uniform candidate ensemble,14.327504846040364,15.04776553279718,144,2880,5,72,12,26784,3456,3456,0,"{""All-flow WRTCN"": 0.1, ""DLinear"": 0.1, ""Damped persistence"": 0.1, ""GraphAttention-Small"": 0.1, ""N-BEATS-Small"": 0.1, ""N-HiTS-Small"": 0.1, ""NLinear"": 0.1, ""PatchLinear"": 0.1, ""PatchTST-Small"": 0.1, ""TimesNet-Small"": 0.1}",{}
22294.29296875,109372.65625,19.146623611450195,41.737430572509766,CERNET,1,NLinear,14.656155192617126,26.74974848665794,196,2880,5,72,12,27048,4508,4704,43,{},{}
22741.49609375,99357.3984375,19.53068733215332,49.88270568847656,CERNET,1,DLinear,16.038080554825758,24.33529475460507,196,2880,5,72,12,27048,4508,4704,43,{},{}
22679.8046875,99117.7578125,19.477705001831055,49.625755310058594,CERNET,1,PatchLinear,15.976183569692427,25.087251763957042,196,2880,5,72,12,27048,4508,4704,43,{},{}
17450.326171875,71410.7578125,14.986562728881836,32.960777282714844,CERNET,1,Damped persistence,12.202514971504767,18.582604544208426,196,2880,5,72,12,27048,4508,4704,43,{},{}
17843.251953125,77738.84375,15.32401180267334,31.385581970214844,CERNET,1,Persistence,12.201896514554985,20.368483067568906,196,2880,5,72,12,27048,4508,4704,43,{},{}
21493.923828125,64736.06640625,18.45925521850586,45.33847427368164,CERNET,1,Seasonal naive,16.44207783273264,21.175547733749738,196,2880,5,72,12,27048,4508,4704,43,{},{}
18068.314453125,74961.421875,15.517298698425293,47.68781280517578,CERNET,1,PatchTST-Small,12.689897782089533,19.980857197298295,196,2880,5,72,12,27048,4508,4704,43,{},"{""best_val_huber"": 0.1483396589756012, ""epochs_run"": 2.0, ""final_train_huber"": 0.10791774047827869}"
17308.12109375,71495.359375,14.864436149597168,48.682395935058594,CERNET,1,N-BEATS-Small,11.99975558744337,19.06057060211119,196,2880,5,72,12,27048,4508,4704,43,{},"{""best_val_huber"": 0.13656431436538696, ""epochs_run"": 2.0, ""final_train_huber"": 0.09483879004461601}"
17331.869140625,69249.8671875,14.8848295211792,47.64647674560547,CERNET,1,TimesNet-Small,12.405377344397225,18.49797959742504,196,2880,5,72,12,27048,4508,4704,43,{},"{""best_val_huber"": 0.15055109560489655, ""epochs_run"": 2.0, ""final_train_huber"": 0.10946414493855129}"
